ANO_CENSO;TRIMESTRE;NOFORMULAR;FECHADILI;REGION;OB_FORMAL;AMPLIACION;ESTADO_ACT;MOVIMIENTO;ESTRATO;USO;USO_DOS;MESINICIO;ANOINICIO;MESREINICI;ANOREINICI;MESCULMINA;ANOCULMINA;AREATOTZC;AREAUNITGA;UNIDADESGA;PRECIOUNIG;TIPOVALOR;SIS_CONSTR;MANO_OBRAP;MANO_OBRAT;MANO_OBRAF;AREA_LOTE;AREAVENDIB;NUMUNIDEST;NUMUNIVEN;NUMUNIXVEN;NRO_EDIFIC;NRO_PISOS;CAPITULO;GRADOAVANC;PRECIOVTAX;TIPOVRDEST;AREATOTCO2;AREAVENUNI;TIPOVIVI;RANVIVI;MEZ_OBRA;CONCRETO;Destino2;id;LOCALIDAD2;DPTO_MPIO
2017;1;67272;04/04/2017;11;1;2;1;C;6;1; ;1;2015;0;0;0;0;4268;10;153;20000;2;2;25;75;0;0;10419;26;0;4;1;13;3;100;17921;1;14687;401;2;6;2;2;1;1;2;11001
2016;2;67272;07/11/2016;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;20;50;0;0;10419;26;0;9;1;13;2;40;17921;1;14687;401;2;6;2;2;1;2;2;11001
2016;1;67272;04/06/2016;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;15;35;0;0;10419;26;0;9;1;13;2;30;17921;2;14687;401;2;6;2;2;1;3;2;11001
2015;4;67272;01/19/16;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;7;40;0;0;10419;26;0;9;1;13;2;10;17887;1;14687;401;2;6;2;2;1;4;2;11001
2018;1;67272;02/27/18;11;1;2;3;T;6;1; ;1;2015;0;0;1;2018;4268;10;153;20000;2;2;0;0;0;0;10419;26;0;0;1;13;6;100;17868;1;14687;401;2;6;2;2;1;5;2;11001
2017;2;67272;06/03/2017;11;1;2;1;C;6;1; ;1;2015;0;0;0;0;4268;10;153;20000;2;2;25;75;0;0;10419;26;0;4;1;13;4;60;17868;1;14687;401;2;6;2;2;1;6;2;11001
2017;4;67272;11/30/17;11;1;2;1;C;6;1; ;1;2015;0;0;0;0;4268;10;153;20000;2;2;25;100;0;0;10419;26;3;0;1;13;6;10;17868;1;14687;401;2;6;2;2;1;7;2;11001
2017;3;67272;09/06/2017;11;1;2;1;C;6;1; ;1;2015;0;0;0;0;4268;10;153;20000;2;2;10;130;0;0;10419;26;1;3;1;13;5;100;17868;1;14687;401;2;6;2;2;1;8;2;11001
2015;3;67272;10/09/2015;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;10;20;0;0;10419;26;0;9;1;13;1;60;16672;2;14687;401;2;6;2;2;1;9;2;11001
2015;2;67272;07/08/2015;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;8;50;0;0;10419;26;0;9;1;13;1;30;16672;1;14687;401;2;6; ; ;1;10;2;11001
2015;1;67272;04/13/15;11;1;2;1;N;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;6;34;0;2700;10419;26;17;9;1;13;1;10;16672;1;14687;401;2;6; ; ;1;11;2;11001
2018;2;86285;05/21/18;11;1;2;1;C;6;1; ;10;2017;0;0;0;0;7805;12;115;20000;2;2;15;80;0;1755;9450;48;1;10;1;19;1;60;16249;1;17255;197;2;6;2;2;1;12;2;11001
2016;4;67272;01/11/2017;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;18;132;0;0;10419;26;0;4;1;13;3;90;16000;1;14687;401;2;6;2;2;1;13;2;11001
2016;3;67272;10/10/2016;11;1;2;1;C;6;1;0;1;2015;0;0;0;0;4268;10;153;20000;2;2;7;165;0;0;10419;26;5;4;1;13;2;70;16000;1;14687;401;2;6;2;2;1;14;2;11001
2018;1;86285;02/21/18;11;1;2;1;C;6;1; ;10;2017;0;0;0;0;7805;12;115;20000;2;2;6;37;0;1755;9450;48;37;11;1;19;1;20;15385;1;17255;197;2;6;2;2;1;15;2;11001
2017;4;68615;11/21/17;11;1;2;3;T;5;1; ;6;2015;0;0;11;2017;3080;11;81;20000;2;2;0;0;0;0;5825;23;1;4;1;8;6;100;14542;1;8905;253;2;6;2;2;1;16;2;11001
2017;4;86285;11/23/17;11;1;2;1;N;6;1; ;10;2017;0;0;0;0;7805;12;115;20000;2;2;11;19;0;1755;9450;48;0;48;1;19;1;5;14448;1;17255;197;2;6;2;1;1;17;2;11001
2013;4;55914;01/20/14;11;1;2;1;C;6;1;0;9;2013;0;0;0;0;854;11;32;20000;1;2;4;16;0;0;2875;5;4;1;1;4;1;40;13500;1;3729;575;2;6; ; ;1;18;2;11001
2017;3;68615;08/28/17;11;1;2;1;C;5;1; ;6;2015;0;0;0;0;3080;11;81;20000;2;2;15;30;0;0;5825;23;3;5;1;8;6;20;13455;1;8905;253;2;6;2;2;1;19;2;11001
2016;3;68615;10/03/2016;11;1;2;1;C;5;1;0;6;2015;0;0;0;0;3080;11;81;20000;2;2;24;106;0;0;5825;23;0;10;1;8;4;30;13182;1;8905;253;2;6;2;2;1;20;2;11001
2016;4;68615;01/04/2017;11;1;2;1;C;5;1;0;6;2015;0;0;0;0;3080;11;81;20000;2;2;10;100;0;0;5825;23;0;10;1;8;5;20;13182;1;8905;253;2;6;2;2;1;21;2;11001
2017;2;65773;06/02/2017;11;1;2;3;T;6;1; ;1;2015;0;0;6;2017;987;12;42;20000;2;2;0;0;0;0;3084;21;0;5;1;9;6;100;13041;1;4071;147;2;6;2;2;1;22;2;11001
2018;2;88684;05/26/18;11;1;2;1;N;6;1; ;5;2018;0;0;0;0;639;11;32;35000;1;2;2;10;0;704;2188;12;9;3;1;7;1;4;12994;1;2827;182;2;6;2;1;1;23;2;11001
2017;3;82486;08/30/17;11;1;2;1;C;5;1; ;1;2017;0;0;0;0;1100;12;70;20000;2;2;5;100;0;0;4203;26;8;0;1;15;2;75;12850;1;5303;162;2;6;2;2;1;24;2;11001
2017;4;82486;11/23/17;11;1;2;1;C;5;1; ;1;2017;0;0;0;0;1100;12;70;20000;2;2;4;81;0;0;4203;26;0;0;1;15;3;90;12850;1;5303;162;2;6;2;2;1;25;2;11001
2018;1;82486;02/20/18;11;1;2;1;C;5;1; ;1;2017;0;0;0;0;1100;12;70;20000;2;2;6;70;0;0;4203;26;0;0;1;15;4;10;12850;1;5303;162;2;6;2;2;1;26;2;11001
2018;2;82486;05/19/18;11;1;2;1;C;5;1; ;1;2017;0;0;0;0;1100;12;70;20000;2;2;6;75;0;0;4203;26;0;0;1;15;4;85;12850;1;5303;162;2;6;2;2;1;27;2;11001
2015;1;62360;04/09/2015;11;1;2;1;C;6;1;0;5;2014;0;0;0;0;639;11;35;20000;2;2;2;38;0;0;2063;10;0;5;1;5;3;80;12824;1;2702;206;2;6; ; ;1;28;2;11001
2018;1;86316;02/20/18;11;1;2;1;C;6;1; ;10;2017;0;0;0;0;1661;15;37;20000;2;2;4;20;0;858;3876;16;13;3;1;12;1;60;12823;1;5537;242;2;6;2;2;1;29;2;11001
2017;4;86316;11/22/17;11;1;2;1;N;6;1; ;10;2017;0;0;0;0;1661;15;37;20000;2;2;5;10;0;858;3876;16;0;16;1;12;1;15;12823;2;5537;242;2;6;2;1;1;30;2;11001
2018;2;86316;05/19/18;11;1;2;1;C;6;1; ;10;2017;0;0;0;0;1661;15;37;20000;2;2;5;30;0;858;3876;16;0;3;1;12;2;55;12823;1;5537;242;2;6;2;2;1;31;2;11001
2014;4;62360;01/21/15;11;1;2;1;C;6;1;0;5;2014;0;0;0;0;639;11;35;20000;2;2;2;23;0;0;2063;10;0;5;1;5;2;50;12815;1;2702;206;2;6; ; ;1;32;2;11001
2014;3;62360;10/02/2014;11;1;2;1;C;6;1; ;5;2014;0;0;0;0;639;11;35;20000;2;2;3;35;0;0;2063;10;0;5;1;5;2;30;12800;1;2702;206;2;6; ; ;1;33;2;11001
2017;2;82486;05/26/17;11;1;2;1;C;5;1; ;1;2017;0;0;0;0;1100;12;70;20000;2;2;3;50;0;0;4203;26;0;8;1;15;2;30;12800;2;5303;162;2;6;2;2;1;34;2;11001
2017;1;82486;04/06/2017;11;1;2;1;N;5;1; ;1;2017;0;0;0;0;1100;12;70;20000;2;2;0;65;0;840;4203;26;18;8;1;15;1;30;12800;1;5303;162;2;6;1;1;1;35;2;11001
2017;2;68615;05/31/17;11;1;2;1;C;5;1; ;6;2015;0;0;0;0;3080;11;81;20000;2;2;30;50;0;0;5825;23;2;8;1;8;5;90;12764;1;8905;253;2;6;2;2;1;36;2;11001
2016;4;67271;01/13/17;11;1;2;3;T;6;1;0;3;2015;0;0;1;2016;1738;12;40;20000;2;2;0;0;0;0;5858;20;0;0;1;8;6;100;12655;1;7596;293;2;6;2;2;1;37;2;11001
2016;3;67271;10/11/2016;11;1;2;1;C;6;1;0;3;2015;0;0;0;0;1738;12;40;20000;2;2;15;105;0;0;5858;20;0;0;1;8;4;100;12655;1;7596;293;2;6;2;2;1;38;2;11001
2016;1;67271;04/04/2016;11;1;2;1;C;6;1;0;3;2015;0;0;0;0;1738;12;40;20000;2;2;12;138;0;0;5858;20;1;2;1;8;2;60;12655;1;7596;293;2;6;2;2;1;39;2;11001
2016;2;67271;07/11/2016;11;1;2;1;C;6;1;0;3;2015;0;0;0;0;1738;12;40;20000;2;2;8;100;0;0;5858;20;2;0;1;8;3;80;12655;1;7596;293;2;6;2;2;1;40;2;11001
2016;2;68615;07/06/2016;11;1;2;1;C;5;1;0;6;2015;0;0;0;0;3080;11;81;20000;2;2;15;115;0;0;5825;23;0;10;1;8;3;80;12604;1;8905;253;2;6;2;2;1;41;2;11001
2017;1;68615;03/27/17;11;1;2;1;C;5;1; ;6;2015;0;0;0;0;3080;11;81;20000;2;2;26;84;0;0;5825;23;0;10;1;8;5;80;12598;1;8905;253;2;6;2;2;1;42;2;11001
2017;1;65773;04/07/2017;11;1;2;1;C;6;1; ;1;2015;0;0;0;0;987;12;42;20000;2;2;14;40;0;0;3084;21;0;5;1;9;5;70;12500;1;4071;147;2;6;2;2;1;43;2;11001
2014;3;48217;10/02/2014;11;1;2;1;C;6;1;0;8;2012;0;0;0;0;1252;13;34;13000;1;2;8;80;0;0;3242;8;0;0;1;9;5;35;12500;1;4494;405;2;6; ; ;1;44;2;11001
2014;2;48217;07/03/2014;11;1;2;1;C;6;1;0;8;2012;0;0;0;0;1252;13;34;13000;1;2;4;56;0;0;3242;8;0;0;1;9;5;30;12500;1;4494;405;2;6; ; ;1;45;2;11001
